map,size,symmetry,ruins,oldMoney,newMoney,oldAllOne,newAllOne
AlarmClock,35x35,1,16,8,7,,
Barcode,50x21,2,18,9,8,,
BatSignal,40x25,2,10,5,6,,
Brat,29x29,1,11,9,8,,
Bread,35x29,2,12,6,5,,
Bunny,44x30,2,16,8,7,,
BunnyGame,30x50,2,12,6,4,,
Castle,27x27,2,10,5,7,,
CastleDefense,20x20,0,6,0,3,ALLONE,
Circuit,60x21,1,14,6,10,,
Crab,40x30,2,14,7,5,,
DefaultHuge,59x59,1,49,34,30,,
DefaultLarge,50x30,2,20,10,11,,
DefaultMedium,35x35,2,19,14,10,,
DefaultSmall,20x20,0,8,4,5,,
Dominoes,44x30,2,20,10,7,,
DonkeyKong,60x60,1,46,23,18,,
Filter,21x21,1,5,5,2,ALLONE,
Flower,45x41,2,12,8,9,,
Fossil,30x30,1,14,7,6,,
FourCorners,25x25,1,10,7,3,,
Gears,55x55,1,14,8,5,,
HungerGames,50x50,0,26,10,15,,
Jail,20x30,2,8,4,4,,
Justice,21x20,2,8,4,4,,
Leaf,60x60,2,52,26,28,,
Mirage,40x40,2,18,9,12,,
Money,35x35,0,20,14,8,,
MoneyTower,35x50,2,10,2,3,,
Oasis,59x59,0,24,8,13,,
Paintball,20x20,0,8,4,6,,
Parking_lot,45x45,1,23,12,8,,
Piglets2,60x40,2,20,10,10,,
PlumberGame,60x30,2,18,9,7,,
Portal,35x35,0,22,12,10,,
Racetrack,25x25,0,10,6,7,,
Restart,55x55,0,28,12,15,,
Rose,40x40,0,26,14,7,,
SMILE,60x60,2,38,19,24,,
SaltyPepper,40x40,2,20,10,11,,
SandyBeach,30x30,2,16,8,11,,
Snowglobe,40x40,2,20,10,12,,
Snowman,25x25,2,6,6,3,ALLONE,
TargetPractice,30x30,2,12,6,7,,
Terminal,40x30,0,12,6,8,,
TheBest,60x60,1,44,22,20,,
Thirds,55x40,1,22,11,11,,
UglySweater,50x50,0,28,14,14,,
UnderTheSea,45x45,1,23,7,10,,
box,31x31,1,8,2,3,,
boxofchocolates,55x55,0,15,11,7,,
catface,30x30,2,6,3,2,,
defensetower,40x59,1,18,12,8,,
fix,40x50,1,24,12,15,,
galaxy,45x45,0,24,16,15,,
gardenworld,60x60,0,22,8,14,,
giver,50x50,0,26,12,12,,
gridworld,31x31,0,21,21,11,ALLONE,
headphones,60x60,2,32,16,19,,
leavemealone,50x30,2,14,7,6,,
lighthouse,31x31,2,11,9,6,,
maze,60x60,2,28,14,14,,
memstore,59x39,2,26,14,14,,
mit,60x60,2,24,12,14,,
quack,30x35,1,12,6,7,,
rain,30x30,0,12,6,7,,
roads,30x30,1,8,4,3,,
sayhi,40x50,0,22,14,8,,
shell,40x40,2,20,10,11,,
sierpinski,39x50,1,16,8,5,,
starburst,30x30,0,8,2,3,,
sunrise,45x55,2,17,9,12,,
walalilongla,45x45,0,18,10,11,,
windmill,30x30,0,8,6,4,,
yearofthesnake,45x45,0,16,14,8,,

maps=75  all-one-type: old 4 (5%)  new 0 (0%)
mean deviation from a 50/50 mix: old 9.3 pts  new 9.9 pts
worst deviation:                 old 50.0 pts  new 25.0 pts
