map,W,H,ruins,paintable,validCentres,pctOfPaintable,pctBlockedByRuins
AlarmClock,35,35,16,1075,212,19.7,34.2
Barcode,50,21,18,948,110,11.6,70.6
BatSignal,40,25,10,880,114,13.0,58.4
Brat,29,29,11,704,24,3.4,73.0
Bread,35,29,12,902,145,16.1,38.8
Bunny,44,30,16,1212,350,28.9,45.7
BunnyGame,30,50,12,1274,224,17.6,42.6
Castle,27,27,10,626,58,9.3,54.3
CastleDefense,20,20,6,334,10,3.0,50.0
Circuit,60,21,14,1082,246,22.7,25.9
Crab,40,30,14,1032,144,14.0,30.8
DefaultHuge,59,59,49,3372,1387,41.1,46.1
DefaultLarge,50,30,20,1456,570,39.1,39.4
DefaultMedium,35,35,19,1174,334,28.4,52.6
DefaultSmall,20,20,8,364,50,13.7,73.1
Dominoes,44,30,20,1208,238,19.7,44.4
DonkeyKong,60,60,46,3186,548,17.2,49.6
Filter,21,21,5,414,92,22.2,48.0
Flower,45,41,12,1611,246,15.3,37.9
Fossil,30,30,14,854,136,15.9,62.0
FourCorners,25,25,10,532,92,17.3,52.1
Gears,55,55,14,2871,1521,53.0,16.8
HungerGames,50,50,26,2232,340,15.2,51.4
Jail,20,30,8,532,58,10.9,67.0
Justice,21,20,8,381,42,11.0,69.1
Leaf,60,60,52,3388,1134,33.5,48.7
Mirage,40,40,18,1462,362,24.8,46.6
Money,35,35,20,1121,337,30.1,49.8
MoneyTower,35,50,10,1491,120,8.0,54.0
Oasis,59,59,24,3315,1785,53.8,17.9
Paintball,20,20,8,346,18,5.2,64.0
Parking_lot,45,45,23,1772,116,6.5,76.4
Piglets2,60,40,20,2012,278,13.8,46.9
PlumberGame,60,30,18,1670,566,33.9,41.5
Portal,35,35,22,1107,153,13.8,65.0
Racetrack,25,25,10,552,98,17.8,59.5
Restart,55,55,28,2629,447,17.0,46.5
Rose,40,40,26,1486,286,19.2,59.5
SMILE,60,60,38,3444,1716,49.8,33.0
SaltyPepper,40,40,20,1464,418,28.6,44.0
SandyBeach,30,30,16,806,194,24.1,39.0
Snowglobe,40,40,20,1458,378,25.9,40.4
Snowman,25,25,6,547,31,5.7,53.7
TargetPractice,30,30,12,804,256,31.8,40.2
Terminal,40,30,12,1010,126,12.5,51.9
TheBest,60,60,44,3248,784,24.1,46.1
Thirds,55,40,22,1910,484,25.3,43.6
UglySweater,50,50,28,2312,728,31.5,39.3
UnderTheSea,45,45,23,1824,727,39.9,34.7
box,31,31,8,821,131,16.0,41.3
boxofchocolates,55,55,15,2420,184,7.6,42.7
catface,30,30,6,862,356,41.3,24.9
defensetower,40,59,18,2155,548,25.4,39.2
fix,40,50,24,1832,256,14.0,57.2
galaxy,45,45,24,1810,288,15.9,53.8
gardenworld,60,60,22,3158,920,29.1,29.1
giver,50,50,26,2318,810,34.9,38.7
gridworld,31,31,21,748,16,2.1,67.3
headphones,60,60,32,3154,860,27.3,38.4
leavemealone,50,30,14,1350,400,29.6,36.5
lighthouse,31,31,11,842,160,19.0,47.5
maze,60,60,28,2860,98,3.4,72.3
memstore,59,39,26,2055,469,22.8,44.8
mit,60,60,24,2988,486,16.3,38.9
quack,30,35,12,920,150,16.3,41.9
rain,30,30,12,838,112,13.4,44.6
roads,30,30,8,762,128,16.8,50.8
sayhi,40,50,22,1712,246,14.4,54.9
shell,40,40,20,1398,192,13.7,66.2
sierpinski,39,50,16,1604,274,17.1,50.4
starburst,30,30,8,836,162,19.4,28.3
sunrise,45,55,17,2191,670,30.6,27.3
walalilongla,45,45,18,1793,363,20.2,43.0
windmill,30,30,8,772,72,9.3,58.1
yearofthesnake,45,45,16,1637,158,9.7,55.9

maps=75  mean valid-centre share of paintable tiles = 20.6%
mean share of wall-legal centres killed by RUINS = 47.6%
worst gridworld.map25 2.1%   best Oasis.map25 53.8%
