map,w,h,ruins,coords,ks
AlarmClock,35,35,16,4:22 4:12 12:22 12:12 23:22 23:12 31:22 31:12 32:2 32:32 27:6 27:28 14:2 14:32 18:7 18:27,16 16 24 24 23 23 15 15 4 4 13 13 16 16 23 23
Barcode,50,21,18,3:10 46:10 15:18 34:18 15:13 34:13 15:7 34:7 15:2 34:2 22:2 27:2 22:7 27:7 22:13 27:13 22:18 27:18,13 13 17 17 22 22 22 22 17 17 24 24 29 29 29 29 24 24
BatSignal,40,25,10,8:2 31:2 15:2 24:2 9:19 30:19 12:14 27:14 17:11 22:11,10 10 17 17 14 14 22 22 28 28
Brat,29,29,11,13:25 13:3 14:14 19:14 24:14 9:14 4:14 2:24 2:4 26:24 26:4,16 16 28 23 18 23 18 6 6 6 6
Bread,35,29,12,14:2 20:2 26:2 8:2 11:20 23:20 3:5 31:5 17:22 17:8 11:10 23:10,16 16 10 10 19 19 8 8 23 25 21 21
Bunny,44,30,16,18:26 25:26 10:13 33:13 11:6 32:6 17:6 26:6 11:20 32:20 4:18 39:18 2:27 41:27 12:26 31:26,21 21 23 23 17 17 23 23 20 20 15 15 4 4 15 15
BunnyGame,30,50,12,12:16 17:16 7:22 22:22 17:8 12:8 22:30 7:30 22:38 7:38 3:43 26:43,28 28 29 29 20 20 26 26 18 18 9 9
Castle,27,27,10,13:11 13:18 7:23 19:23 9:2 17:2 2:23 24:23 2:8 24:8,24 21 10 10 11 11 5 5 10 10
CastleDefense,20,20,6,2:7 17:12 2:15 17:4 7:10 12:9,9 9 6 6 16 16
Circuit,60,21,14,41:2 41:18 47:18 47:2 2:13 2:7 18:7 18:13 11:7 11:13 35:13 35:7 29:13 29:7,20 20 14 14 9 9 25 25 18 18 31 31 36 36
Crab,40,30,14,10:2 29:2 12:10 27:10 9:19 30:19 17:25 22:25 14:16 25:16 17:5 22:5 3:26 36:26,12 12 22 22 19 19 21 21 27 27 22 22 6 6
DefaultHuge,59,59,49,19:55 19:3 37:54 37:4 42:54 42:4 46:48 46:10 41:48 41:10 36:48 36:10 28:48 28:10 20:48 20:10 15:49 15:9 4:47 4:11 5:42 5:16 17:42 17:16 27:42 27:16 34:42 34:16 46:42 46:16 51:41 51:17 56:39 56:19 33:35 33:23 25:35 25:23 10:36 10:22 4:32 4:26 11:29 27:29 38:29 49:29 55:29 19:29 33:29,22 22 25 25 20 20 22 22 27 27 32 32 38 38 30 30 24 24 15 15 21 21 33 33 43 43 40 40 28 28 24 24 21 21 48 48 48 48 32 32 30 30 40 56 49 38 32 48 54
DefaultLarge,50,30,20,13:19 36:19 2:2 47:2 7:7 42:7 2:27 47:27 7:22 42:22 3:15 46:15 22:17 27:17 22:12 27:12 22:25 27:25 22:4 27:4,23 23 4 4 14 14 4 4 14 14 17 17 34 34 34 34 26 26 26 26
DefaultMedium,35,35,19,7:17 27:17 12:14 22:14 12:20 22:20 17:17 17:11 17:5 17:22 17:27 2:2 32:2 2:32 32:32 7:12 27:12 7:22 27:22,24 24 26 26 26 26 34 28 22 29 24 4 4 4 4 19 19 19 19
DefaultSmall,20,20,8,7:7 12:12 7:12 12:7 2:7 17:12 2:12 17:7,14 14 14 14 9 9 9 9
Dominoes,44,30,20,3:7 40:7 18:12 25:12 3:19 40:19 3:25 40:25 18:25 25:25 18:19 25:19 9:2 34:2 10:25 33:25 32:18 11:18 2:12 41:12,10 10 30 30 13 13 7 7 22 22 28 28 11 11 14 14 22 22 14 14
DonkeyKong,60,60,46,29:42 29:17 29:37 29:22 29:32 29:27 40:54 40:5 52:54 52:5 40:47 40:12 40:42 40:17 40:37 40:22 40:32 40:27 52:47 52:12 52:42 52:17 52:37 52:22 52:32 52:27 17:54 17:5 6:54 6:5 17:47 17:12 17:42 17:17 17:37 17:22 17:32 17:27 6:47 6:12 6:42 6:17 6:37 6:22 6:32 6:27,46 46 51 51 56 56 24 24 12 12 31 31 36 36 41 41 46 46 19 19 24 24 29 29 34 34 22 22 11 11 29 29 34 34 39 39 44 44 18 18 23 23 28 28 33 33
Filter,21,21,5,7:5 7:15 10:10 13:5 13:15,12 12 20 12 12
Flower,45,41,12,6:28 38:28 2:21 42:21 30:38 14:38 2:6 42:6 9:19 35:19 18:33 26:33,18 18 21 21 16 16 8 8 28 28 25 25
Fossil,30,30,14,4:7 4:22 12:2 12:27 11:8 11:21 17:10 17:19 19:5 19:24 26:7 26:22 7:2 7:27,11 11 14 14 19 19 22 22 15 15 10 10 9 9
FourCorners,25,25,10,8:18 8:6 16:18 16:6 21:22 21:2 22:16 22:8 9:12 14:12,14 14 14 14 5 5 10 10 21 22
Gears,55,55,14,3:21 3:33 21:18 21:36 28:6 28:48 35:21 35:33 42:11 42:43 50:19 50:35 51:3 51:51,24 24 39 39 32 32 40 40 23 23 23 23 6 6
HungerGames,50,50,26,36:36 13:13 8:25 41:24 40:30 9:19 29:40 20:9 20:40 29:9 14:37 35:12 9:32 40:17 3:42 46:7 9:47 40:2 40:47 9:2 46:41 3:8 8:42 41:7 41:42 8:7,26 26 32 32 28 28 29 29 29 29 26 26 26 26 10 10 11 11 11 11 11 11 15 15 15 15
Jail,20,30,8,7:10 12:10 7:26 12:26 16:3 3:3 2:10 17:10,17 17 10 10 6 6 12 12
Justice,21,20,8,2:17 18:17 18:12 2:12 2:7 18:7 7:7 13:7,4 4 9 9 9 9 14 14
Leaf,60,60,52,4:13 55:13 23:5 36:5 18:2 41:2 12:11 47:11 5:18 54:18 4:23 55:23 5:28 54:28 10:31 49:31 12:36 47:36 3:38 56:38 8:41 51:41 18:40 41:40 19:47 40:47 8:46 51:46 3:49 56:49 8:57 51:57 11:51 48:51 25:53 34:53 17:54 42:54 25:48 34:48 27:28 32:28 21:26 38:26 19:20 40:20 13:20 46:20 23:15 36:15 27:21 32:21,17 17 28 28 20 20 23 23 23 23 27 27 33 33 38 38 35 35 24 24 26 26 37 37 31 31 21 21 13 13 10 10 19 19 31 31 22 22 36 36 55 55 47 47 39 39 33 33 38 38 48 48
Mirage,40,40,18,14:13 25:13 9:12 30:12 7:7 32:7 12:4 27:4 17:3 22:3 4:24 35:24 6:34 33:34 7:29 32:29 13:24 26:24,27 27 21 21 14 14 16 16 20 20 19 19 11 11 17 17 28 28
Money,35,35,20,3:13 31:21 2:20 32:14 15:13 19:21 15:26 19:8 24:32 10:2 28:27 6:7 11:7 23:27 19:2 15:32 25:9 9:25 2:2 32:32,16 16 16 16 28 28 23 23 12 12 13 13 18 18 17 17 18 18 4 4
MoneyTower,35,50,10,8:19 26:19 17:9 17:4 17:32 6:25 28:25 25:12 9:12 17:19,27 27 26 21 34 30 30 21 21 36
Oasis,59,59,24,3:43 55:15 12:44 46:14 4:53 54:5 13:54 45:4 24:45 34:13 25:36 33:22 36:35 22:23 36:45 22:13 45:45 13:13 45:55 13:3 55:56 3:2 55:44 3:14,18 18 26 26 9 9 17 17 37 37 47 47 45 45 35 35 26 26 16 16 5 5 17 17
Paintball,20,20,8,2:4 17:15 4:9 15:10 9:7 10:12 12:17 7:2,6 6 13 13 16 16 9 9
Parking_lot,45,45,23,41:39 41:5 41:34 41:10 41:29 41:15 2:39 2:5 2:34 2:10 2:28 2:16 21:22 16:22 26:22 11:22 31:22 36:22 6:22 11:42 11:2 31:42 31:2,8 8 13 13 18 18 7 7 12 12 18 18 43 38 40 33 35 30 28 13 13 15 15
Piglets2,60,40,20,16:11 43:11 9:11 50:11 8:36 51:36 18:36 41:36 3:18 56:18 27:10 32:10 27:4 32:4 27:24 32:24 43:29 16:29 51:29 8:29,27 27 20 20 11 11 21 21 21 21 37 37 31 31 42 42 26 26 18 18
PlumberGame,60,30,18,22:26 37:26 26:17 33:17 17:12 42:12 20:4 39:4 26:6 33:6 10:14 49:14 14:3 45:3 27:22 32:22 3:20 56:20,25 25 38 38 29 29 24 24 32 32 24 24 17 17 34 34 12 12
