map,w,h,walls,ruins,srp_centres,pct_of_tiles,srp_per_ruin
AlarmClock,35,35,134,20,142,11.6,8.88
Barcode,50,21,84,22,46,4.4,2.56
BatSignal,40,25,110,14,82,8.2,8.20
Brat,29,29,126,15,0,0.0,0.00
Bread,35,29,101,16,85,8.4,7.08
Bunny,44,30,92,20,250,18.9,15.63
BunnyGame,30,50,214,16,206,13.7,17.17
Castle,27,27,93,14,36,4.9,3.60
CastleDefense,20,20,60,10,0,0.0,0.00
Circuit,60,21,164,18,210,16.7,15.00
Crab,40,30,154,18,100,8.3,7.14
DefaultHuge,59,59,60,53,1287,37.0,26.27
DefaultLarge,50,30,24,24,470,31.3,23.50
DefaultMedium,35,35,32,23,298,24.3,15.68
DefaultSmall,20,20,28,12,0,0.0,0.00
Dominoes,44,30,92,24,170,12.9,8.50
DonkeyKong,60,60,368,50,502,13.9,10.91
Filter,21,21,22,9,56,12.7,11.20
Flower,45,41,222,16,210,11.4,17.50
Fossil,30,30,32,18,94,10.4,6.71
FourCorners,25,25,83,14,58,9.3,5.80
Gears,55,55,140,18,1421,47.0,101.50
HungerGames,50,50,242,30,292,11.7,11.23
Jail,20,30,60,12,28,4.7,3.50
Justice,21,20,31,12,6,1.4,0.75
Leaf,60,60,160,56,1044,29.0,20.08
Mirage,40,40,120,22,282,17.6,15.67
Money,35,35,84,24,247,20.2,12.35
MoneyTower,35,50,249,14,72,4.1,7.20
Oasis,59,59,142,28,1685,48.4,70.21
Paintball,20,20,46,12,0,0.0,0.00
Parking_lot,45,45,230,27,96,4.7,4.17
Piglets2,60,40,368,24,240,10.0,12.00
PlumberGame,60,30,112,22,494,27.4,27.44
Portal,35,35,96,26,127,10.4,5.77
Racetrack,25,25,63,14,38,6.1,3.80
Restart,55,55,368,32,375,12.4,13.39
Rose,40,40,88,30,206,12.9,7.92
SMILE,60,60,118,42,1626,45.2,42.79
SaltyPepper,40,40,116,24,368,23.0,18.40
SandyBeach,30,30,78,20,114,12.7,7.13
Snowglobe,40,40,122,24,306,19.1,15.30
Snowman,25,25,72,10,9,1.4,1.50
TargetPractice,30,30,84,16,188,20.9,15.67
Terminal,40,30,178,16,78,6.5,6.50
TheBest,60,60,308,48,724,20.1,16.45
Thirds,55,40,268,26,430,19.5,19.55
UglySweater,50,50,160,32,666,26.6,23.79
UnderTheSea,45,45,178,27,667,32.9,29.00
box,31,31,132,12,73,7.6,9.13
boxofchocolates,55,55,590,19,132,4.4,8.80
catface,30,30,32,10,266,29.6,44.33
defensetower,40,59,187,22,524,22.2,29.11
fix,40,50,144,28,252,12.6,10.50
galaxy,45,45,191,28,236,11.7,9.83
gardenworld,60,60,420,26,902,25.1,41.00
giver,50,50,156,30,754,30.2,29.00
gridworld,31,31,192,25,0,0.0,0.00
headphones,60,60,414,36,836,23.2,26.13
leavemealone,50,30,136,18,326,21.7,23.29
lighthouse,31,31,108,15,100,10.4,9.09
maze,60,60,712,32,86,2.4,3.07
memstore,59,39,220,30,409,17.8,15.73
mit,60,60,588,28,416,11.6,17.33
quack,30,35,118,16,106,10.1,8.83
rain,30,30,50,16,78,8.7,6.50
roads,30,30,130,12,86,9.6,10.75
sayhi,40,50,266,26,198,9.9,9.00
shell,40,40,182,24,102,6.4,5.10
sierpinski,39,50,330,20,220,11.3,13.75
starburst,30,30,56,12,120,13.3,15.00
sunrise,45,55,267,21,628,25.4,36.94
walalilongla,45,45,214,22,345,17.0,19.17
windmill,30,30,120,12,46,5.1,5.75
yearofthesnake,45,45,372,20,106,5.2,6.63
