# Darla's arms. <package>|<axis>|<dose>|<label>
# dose is numeric where the arm is a point on a dose axis, else "-".
# Used by tools/plot_arms.py; keep it updated in the same commit as a new arm.
darla|SPLASH_FLOOR|2000|baseline (carol economy + siege)
darla5|SPLASH_FLOOR|0|floor 0
darla4|SPLASH_FLOOR|1400|floor 1400
darla6|SPLASH_FLOOR|2600|floor 2600
darla2|moppers|-|moppers removed
darla3|moppers|-|mopper navigation (alice i7)
darla7|SPLASH_MIN_SCORE|4|splash threshold 8 to 4
darla8|frontier|-|frontier branch unguarded
darla9|frontier|-|idle soldiers head for enemy paint
darla10|SPLASHER_IN_20|8|splasher share 15% to 40%
darla11|SPLASHER_IN_20|14|splasher share 15% to 70%
darla12|SPLASH_PAINT_FLOOR|300|splasher paint floor 300
darla13|SPLASH_PAINT_FLOOR|150|splasher paint floor 150
darla14|SPLASHER_IN_20|11|splasher share 55%
darla15|siege|-|siege targets paint towers first
darla16|SPLASHER_IN_20|16|splasher share 80%
