date,current_snapshot,opponent,wins,total,win_pct,source
2026-09-10T21:37:03+00:00,pre-iter0,alice,13,24,54.2,roster-run
2026-09-10T21:37:03+00:00,pre-iter0,bob,14,24,58.3,roster-run
2026-09-10T21:37:03+00:00,pre-iter0,carol,14,24,58.3,roster-run
2026-09-10T21:39:19+00:00,pre-iter0,alice,16,24,66.7,roster-run
2026-09-10T21:39:19+00:00,pre-iter0,bob,16,24,66.7,roster-run
2026-09-10T21:39:19+00:00,pre-iter0,carol,16,24,66.7,roster-run
2026-09-11T04:13:01+00:00,pre-iter0,alice,30,50,60.0,roster-run
2026-09-11T04:13:01+00:00,pre-iter0,bob,36,50,72.0,roster-run
2026-09-11T04:13:01+00:00,pre-iter0,carol,31,50,62.0,roster-run
2026-09-11T05:23:26+00:00,pre-iter0,alice,30,50,60.0,roster-run
2026-09-11T05:23:26+00:00,pre-iter0,bob,35,50,70.0,roster-run
2026-09-11T05:23:26+00:00,pre-iter0,carol,29,50,58.0,roster-run
2026-09-11T06:37:18+00:00,pre-iter0,alice,33,50,66.0,roster-run
2026-09-11T06:37:18+00:00,pre-iter0,bob,38,50,76.0,roster-run
2026-09-11T06:37:18+00:00,pre-iter0,carol,30,50,60.0,roster-run
2026-09-11T08:33:20+00:00,pre-iter0,alice,33,50,66.0,roster-run
