team_a,team_b,map,winner_side,winner_bot,rounds
alice,bob,Barcode,A,alice,495
bob,alice,Piglets2,B,alice,792
bob,alice,Barcode,B,alice,1522
alice,bob,Piglets2,B,bob,1250
bob,alice,gardenworld,A,bob,1124
alice,bob,gardenworld,A,alice,1568
bob,alice,Parking_lot,B,alice,1159
alice,bob,MoneyTower,B,bob,1044
bob,alice,MoneyTower,A,bob,579
alice,bob,AlarmClock,B,bob,543
bob,alice,walalilongla,B,alice,293
bob,alice,AlarmClock,B,alice,999
alice,bob,Parking_lot,B,bob,2000
alice,bob,Crab,A,alice,1133
alice,bob,lighthouse,A,alice,2000
bob,alice,lighthouse,B,alice,2000
alice,bob,sierpinski,B,bob,695
alice,bob,walalilongla,A,alice,2000
bob,alice,Crab,B,alice,2000
bob,alice,sierpinski,B,alice,883
bob,alice,Fossil,A,bob,740
alice,bob,SandyBeach,A,alice,201
bob,alice,SandyBeach,B,alice,316
bob,alice,Flower,B,alice,803
alice,bob,Fossil,A,alice,2000
alice,bob,starburst,B,bob,654
bob,alice,starburst,A,bob,851
alice,bob,Flower,A,alice,2000
alice,bob,Dominoes,A,alice,254
bob,alice,yearofthesnake,B,alice,800
alice,bob,Snowman,A,alice,545
bob,alice,Dominoes,B,alice,505
bob,alice,Snowman,B,alice,598
bob,alice,fix,A,bob,310
alice,bob,Snowglobe,B,bob,495
alice,bob,yearofthesnake,A,alice,2000
alice,bob,fix,A,alice,998
alice,bob,DefaultSmall,A,alice,197
bob,alice,Justice,A,bob,668
bob,alice,DefaultSmall,B,alice,168
bob,alice,Snowglobe,A,bob,989
alice,bob,Justice,A,alice,1978
alice,bob,BunnyGame,B,bob,1062
alice,bob,DefaultMedium,B,bob,1506
bob,alice,DefaultMedium,A,bob,2000
alice,bob,UglySweater,A,alice,346
alice,bob,Racetrack,B,bob,1763
bob,alice,Racetrack,A,bob,1184
bob,alice,BunnyGame,A,bob,2000
bob,alice,UglySweater,A,bob,546
bob,alice,DefaultHuge,A,bob,519
alice,bob,DefaultHuge,B,bob,574
alice,bob,Bread,A,alice,372
bob,alice,Bread,B,alice,632
alice,bob,quack,B,bob,609
bob,alice,boxofchocolates,B,alice,1813
alice,bob,boxofchocolates,A,alice,2000
bob,alice,quack,B,alice,1324
bob,alice,Money,A,bob,1696
alice,bob,Money,B,bob,2000
bob,alice,sunrise,A,bob,908
alice,bob,SaltyPepper,B,bob,569
alice,bob,sunrise,A,alice,1816
alice,bob,catface,B,bob,423
bob,alice,catface,B,alice,432
bob,alice,SaltyPepper,B,alice,2000
bob,alice,defensetower,B,alice,585
alice,bob,Oasis,B,bob,715
alice,bob,defensetower,B,bob,2000
alice,bob,headphones,B,bob,1511
alice,bob,HungerGames,B,bob,851
bob,alice,HungerGames,A,bob,699
alice,bob,Castle,A,alice,259
bob,alice,headphones,A,bob,1619
alice,bob,FourCorners,A,alice,422
bob,alice,Castle,A,bob,480
bob,alice,FourCorners,B,alice,452
bob,alice,Oasis,A,bob,1378
bob,alice,roads,B,alice,952
alice,bob,roads,B,bob,1100
alice,bob,mit,A,alice,1396
alice,bob,DonkeyKong,B,bob,915
bob,alice,mit,A,bob,1739
alice,bob,leavemealone,A,alice,1134
bob,alice,leavemealone,A,bob,1100
bob,alice,galaxy,B,alice,1056
alice,bob,galaxy,A,alice,2000
bob,alice,memstore,A,bob,852
bob,alice,DonkeyKong,A,bob,2000
alice,bob,memstore,B,bob,2000
alice,bob,Portal,A,alice,2000
alice,bob,Leaf,B,bob,458
bob,alice,Portal,B,alice,1661
alice,bob,CastleDefense,B,bob,241
bob,alice,CastleDefense,A,bob,703
alice,bob,Circuit,B,bob,679
